ImageId,label
1,6
2,4
3,3
4,4
5,9
6,8
7,3
8,0
9,4
10,0
11,3
12,5
13,5
14,9
15,3
16,5
17,3
18,4
19,0
20,9
21,1
22,4
23,7
24,3
25,8
26,6
27,7
28,2
29,0
30,5
31,9
32,6
33,2
34,9
35,4
36,0
37,6
38,2
39,0
40,9
41,6
42,8
43,1
44,3
45,5
46,3
47,0
48,9
49,2
50,4
51,6
52,8
53,4
54,3
55,3
56,7
57,9
58,5
59,9
60,9
61,6
62,9
63,3
64,3
65,6
66,4
67,4
68,8
69,3
70,9
71,5
72,3
73,3
74,8
75,5
76,9
77,3
78,0
79,7
80,3
81,0
82,0
83,4
84,3
85,0
86,9
87,3
88,3
89,5
90,2
91,3
92,0
93,4
94,2
95,7
96,6
97,3
98,3
99,2
100,6
101,5
102,0
103,4
104,9
105,3
106,5
107,9
108,3
109,9
110,8
111,4
112,9
113,7
114,0
115,0
116,9
117,9
118,4
119,5
120,2
121,5
122,2
123,1
124,4
125,2
126,9
127,5
128,6
129,6
130,2
131,3
132,3
133,4
134,4
135,4
136,9
137,5
138,4
139,2
140,4
141,6
142,0
143,6
144,3
145,4
146,7
147,3
148,2
149,4
150,8
151,8
152,0
153,0
154,7
155,3
156,0
157,5
158,8
159,2
160,3
161,3
162,3
163,2
164,7
165,4
166,5
167,6
168,5
169,8
170,9
171,3
172,3
173,8
174,5
175,4
176,0
177,5
178,6
179,4
180,4
181,3
182,0
183,7
184,4
185,2
186,3
187,9
188,4
189,2
190,3
191,5
192,7
193,2
194,1
195,1
196,4
197,6
198,8
199,7
200,2
201,4
202,0
203,3
204,6
205,8
206,9
207,3
208,3
209,2
210,2
211,9
212,0
213,5
214,4
215,5
216,3
217,4
218,4
219,0
220,3
221,7
222,3
223,4
224,2
225,0
226,0
227,6
228,4
229,0
230,9
231,4
232,6
233,2
234,9
235,3
236,7
237,3
238,5
239,5
240,4
241,3
242,4
243,7
244,7
245,3
246,3
247,6
248,3
249,9
250,5
251,3
252,3
253,0
254,4
255,5
256,2
257,8
258,4
259,0
260,5
261,9
262,5
263,3
264,3
265,2
266,3
267,1
268,8
269,4
270,9
271,2
272,7
273,2
274,3
275,4
276,5
277,4
278,3
279,3
280,7
281,9
282,3
283,9
284,8
285,3
286,0
287,6
288,0
289,2
290,8
291,3
292,2
293,6
294,3
295,2
296,4
297,5
298,4
299,5
300,5
301,5
302,8
303,8
304,9
305,2
306,3
307,4
308,7
309,2
310,3
311,3
312,2
313,6
314,3
315,2
316,3
317,3
318,6
319,4
320,8
321,1
322,9
323,0
324,0
325,5
326,8
327,6
328,4
329,5
330,9
331,4
332,9
333,4
334,5
335,8
336,5
337,8
338,0
339,5
340,8
341,5
342,6
343,4
344,3
345,4
346,3
347,5
348,8
349,9
350,3
351,4
352,2
353,8
354,9
355,5
356,9
357,1
358,5
359,3
360,4
361,5
362,4
363,4
364,7
365,5
366,3
367,7
368,5
369,4
370,6
371,2
372,8
373,1
374,2
375,2
376,4
377,6
378,3
379,5
380,6
381,6
382,2
383,3
384,3
385,1
386,4
387,9
388,4
389,8
390,8
391,4
392,8
393,8
394,2
395,6
396,0
397,4
398,4
399,3
400,3
401,6
402,8
403,6
404,4
405,4
406,4
407,8
408,9
409,8
410,3
411,3
412,8
413,2
414,4
415,6
416,5
417,4
418,4
419,5
420,8
421,2
422,4
423,5
424,7
425,3
426,4
427,0
428,8
429,2
430,5
431,3
432,3
433,3
434,0
435,9
436,4
437,0
438,2
439,2
440,6
441,8
442,5
443,2
444,2
445,2
446,1
447,4
448,2
449,0
450,8
451,2
452,8
453,4
454,2
455,7
456,5
457,0
458,3
459,8
460,7
461,9
462,1
463,3
464,3
465,2
466,4
467,8
468,0
469,5
470,4
471,4
472,2
473,5
474,9
475,4
476,4
477,4
478,9
479,4
480,4
481,2
482,5
483,4
484,7
485,3
486,3
487,8
488,0
489,5
490,8
491,9
492,2
493,4
494,3
495,0
496,3
497,4
498,8
499,4
500,8
501,4
502,7
503,2
504,1
505,7
506,9
507,5
508,5
509,9
510,4
511,8
512,4
513,8
514,2
515,5
516,3
517,3
518,8
519,8
520,4
521,8
522,2
523,2
524,6
525,5
526,4
527,7
528,4
529,4
530,2
531,9
532,6
533,7
534,3
535,0
536,3
537,7
538,5
539,6
540,0
541,7
542,3
543,5
544,0
545,4
546,5
547,4
548,2
549,7
550,4
551,7
552,5
553,6
554,3
555,5
556,9
557,2
558,3
559,4
560,7
561,7
562,3
563,2
564,4
565,5
566,5
567,2
568,4
569,4
570,6
571,6
572,6
573,3
574,7
575,6
576,3
577,4
578,8
579,7
580,4
581,3
582,9
583,8
584,2
585,8
586,4
587,0
588,9
589,5
590,7
591,5
592,8
593,8
594,3
595,9
596,4
597,6
598,4
599,9
600,5
601,9
602,4
603,6
604,4
605,4
606,0
607,3
608,2
609,2
610,6
611,6
612,2
613,5
614,4
615,7
616,2
617,8
618,7
619,3
620,2
621,8
622,3
623,0
624,6
625,5
626,5
627,0
628,3
629,4
630,8
631,5
632,4
633,3
634,4
635,4
636,2
637,5
638,2
639,4
640,5
641,6
642,5
643,1
644,4
645,8
646,3
647,4
648,1
649,4
650,8
651,8
652,0
653,7
654,4
655,4
656,8
657,8
658,5
659,8
660,2
661,4
662,7
663,2
664,9
665,1
666,3
667,9
668,5
669,3
670,9
671,3
672,0
673,3
674,3
675,7
676,8
677,8
678,7
679,4
680,9
681,5
682,2
683,0
684,6
685,0
686,5
687,4
688,9
689,2
690,0
691,8
692,1
693,4
694,4
695,8
696,3
697,0
698,2
699,5
700,7
701,5
702,6
703,3
704,4
705,6
706,8
707,8
708,0
709,4
710,2
711,0
712,3
713,4
714,8
715,4
716,4
717,7
718,5
719,8
720,8
721,2
722,8
723,4
724,9
725,4
726,4
727,6
728,0
729,8
730,6
731,2
732,9
733,3
734,9
735,8
736,5
737,4
738,8
739,4
740,8
741,2
742,2
743,0
744,0
745,2
746,2
747,7
748,2
749,5
750,4
751,7
752,0
753,3
754,2
755,4
756,6
757,2
758,4
759,9
760,5
761,5
762,3
763,6
764,8
765,3
766,9
767,4
768,7
769,4
770,8
771,6
772,8
773,4
774,4
775,3
776,2
777,6
778,4
779,4
780,4
781,9
782,4
783,4
784,6
785,3
786,8
787,7
788,0
789,5
790,3
791,4
792,5
793,6
794,4
795,6
796,3
797,4
798,2
799,2
800,4
801,4
802,4
803,2
804,3
805,4
806,2
807,2
808,9
809,2
810,4
811,3
812,0
813,3
814,8
815,6
816,2
817,7
818,2
819,2
820,3
821,5
822,5
823,3
824,4
825,4
826,2
827,4
828,1
829,6
830,0
831,8
832,4
833,3
834,0
835,9
836,2
837,9
838,4
839,5
840,6
841,7
842,3
843,9
844,5
845,6
846,2
847,2
848,0
849,7
850,3
851,0
852,0
853,3
854,6
855,7
856,8
857,4
858,8
859,8
860,4
861,7
862,2
863,9
864,3
865,0
866,3
867,4
868,8
869,5
870,3
871,2
872,2
873,3
874,9
875,4
876,5
877,4
878,4
879,3
880,0
881,3
882,5
883,4
884,0
885,9
886,6
887,4
888,8
889,5
890,1
891,4
892,5
893,4
894,4
895,8
896,3
897,2
898,2
899,0
900,4
901,8
902,9
903,3
904,6
905,3
906,5
907,0
908,7
909,7
910,8
911,5
912,7
913,3
914,3
915,4
916,9
917,3
918,7
919,4
920,9
921,0
922,0
923,8
924,0
925,3
926,5
927,2
928,4
929,4
930,5
931,2
932,7
933,4
934,6
935,6
936,5
937,3
938,2
939,0
940,3
941,2
942,8
943,1
944,4
945,9
946,0
947,3
948,7
949,2
950,7
951,4
952,2
953,6
954,5
955,5
956,0
957,0
958,0
959,5
960,6
961,3
962,0
963,2
964,9
965,5
966,5
967,4
968,8
969,5
970,3
971,3
972,4
973,1
974,4
975,2
976,4
977,5
978,4
979,2
980,1
981,3
982,8
983,6
984,1
985,6
986,2
987,8
988,3
989,2
990,6
991,4
992,2
993,3
994,2
995,0
996,4
997,2
998,3
999,4
1000,0
1001,4
1002,2
1003,8
1004,2
1005,4
1006,5
1007,1
1008,4
1009,9
1010,6
1011,4
1012,4
1013,3
1014,6
1015,5
1016,8
1017,2
1018,3
1019,8
1020,4
1021,6
1022,2
1023,8
1024,4
1025,5
1026,7
1027,4
1028,3
1029,5
1030,4
1031,8
1032,4
1033,8
1034,0
1035,6
1036,9
1037,3
1038,8
1039,4
1040,3
1041,4
1042,5
1043,4
1044,2
1045,3
1046,4
1047,6
1048,8
1049,5
1050,7
1051,7
1052,4
1053,8
1054,8
1055,5
1056,4
1057,4
1058,0
1059,4
1060,8
1061,4
1062,8
1063,6
1064,9
1065,2
1066,6
1067,5
1068,9
1069,9
1070,2
1071,8
1072,8
1073,2
1074,6
1075,4
1076,3
1077,4
1078,4
1079,7
1080,3
1081,3
1082,3
1083,5
1084,0
1085,8
1086,8
1087,4
1088,2
1089,3
1090,4
1091,5
1092,0
1093,8
1094,0
1095,8
1096,2
1097,8
1098,5
1099,8
1100,3
1101,5
1102,7
1103,2
1104,4
1105,0
1106,0
1107,4
1108,4
1109,8
1110,1
1111,8
1112,5
1113,6
1114,9
1115,9
1116,5
1117,4
1118,4
1119,9
1120,5
1121,4
1122,2
1123,6
1124,4
1125,5
1126,2
1127,7
1128,5
1129,9
1130,4
1131,3
1132,2
1133,3
1134,3
1135,8
1136,1
1137,8
1138,8
1139,6
1140,3
1141,7
1142,7
1143,7
1144,7
1145,4
1146,4
1147,6
1148,8
1149,8
1150,3
1151,4
1152,2
1153,2
1154,2
1155,2
1156,0
1157,8
1158,4
1159,3
1160,7
1161,8
1162,4
1163,1
1164,7
1165,4
1166,6
1167,0
1168,7
1169,3
1170,4
1171,0
1172,5
1173,8
1174,9
1175,3
1176,0
1177,5
1178,8
1179,6
1180,3
1181,3
1182,3
1183,3
1184,6
1185,8
1186,8
1187,3
1188,5
1189,9
1190,2
1191,2
1192,8
1193,3
1194,5
1195,8
1196,5
1197,5
1198,3
1199,3
1200,2
1201,1
1202,8
1203,5
1204,2
1205,4
1206,6
1207,0
1208,4
1209,3
1210,4
1211,4
1212,4
1213,8
1214,0
1215,8
1216,2
1217,2
1218,2
1219,5
1220,8
1221,3
1222,4
1223,8
1224,3
1225,3
1226,4
1227,2
1228,2
1229,2
1230,6
1231,2
1232,4
1233,6
1234,2
1235,2
1236,8
1237,8
1238,6
1239,0
1240,0
1241,3
1242,6
1243,8
1244,2
1245,1
1246,0
1247,0
1248,2
1249,7
1250,7
1251,6
1252,1
1253,4
1254,3
1255,5
1256,8
1257,2
1258,4
1259,6
1260,3
1261,4
1262,4
1263,8
1264,0
1265,4
1266,4
1267,6
1268,6
1269,5
1270,4
1271,4
1272,5
1273,4
1274,7
1275,4
1276,5
1277,3
1278,9
1279,8
1280,2
1281,4
1282,5
1283,5
1284,9
1285,2
1286,4
1287,9
1288,5
1289,4
1290,4
1291,5
1292,3
1293,1
1294,6
1295,5
1296,6
1297,3
1298,7
1299,5
1300,6
1301,2
1302,2
1303,4
1304,4
1305,2
1306,8
1307,8
1308,5
1309,3
1310,8
1311,4
1312,8
1313,0
1314,3
1315,2
1316,4
1317,5
1318,6
1319,2
1320,3
1321,2
1322,4
1323,3
1324,4
1325,5
1326,7
1327,0
1328,4
1329,5
1330,4
1331,7
1332,9
1333,3
1334,6
1335,8
1336,4
1337,3
1338,3
1339,3
1340,5
1341,7
1342,2
1343,4
1344,9
1345,0
1346,9
1347,3
1348,4
1349,9
1350,5
1351,5
1352,4
1353,2
1354,7
1355,3
1356,7
1357,0
1358,2
1359,6
1360,8
1361,0
1362,7
1363,8
1364,3
1365,4
1366,1
1367,4
1368,3
1369,7
1370,4
1371,4
1372,8
1373,9
1374,4
1375,4
1376,8
1377,5
1378,9
1379,8
1380,4
1381,9
1382,3
1383,0
1384,6
1385,2
1386,8
1387,2
1388,3
1389,0
1390,8
1391,6
1392,6
1393,0
1394,5
1395,2
1396,5
1397,3
1398,7
1399,8
1400,3
1401,4
1402,3
1403,2
1404,7
1405,0
1406,3
1407,2
1408,5
1409,9
1410,3
1411,5
1412,4
1413,0
1414,4
1415,0
1416,3
1417,8
1418,6
1419,0
1420,8
1421,0
1422,3
1423,5
1424,4
1425,4
1426,4
1427,8
1428,4
1429,5
1430,5
1431,2
1432,2
1433,4
1434,2
1435,6
1436,4
1437,2
1438,0
1439,5
1440,0
1441,5
1442,9
1443,7
1444,3
1445,2
1446,9
1447,3
1448,0
1449,4
1450,4
1451,0
1452,5
1453,2
1454,1
1455,8
1456,2
1457,8
1458,2
1459,8
1460,5
1461,7
1462,2
1463,9
1464,4
1465,5
1466,6
1467,5
1468,4
1469,6
1470,9
1471,4
1472,9
1473,4
1474,0
1475,2
1476,3
1477,3
1478,2
1479,1
1480,8
1481,3
1482,2
1483,9
1484,2
1485,3
1486,9
1487,8
1488,8
1489,8
1490,9
1491,2
1492,5
1493,9
1494,6
1495,5
1496,9
1497,7
1498,7
1499,2
1500,0
1501,9
1502,4
1503,5
1504,9
1505,3
1506,6
1507,3
1508,4
1509,3
1510,7
1511,3
1512,9
1513,2
1514,8
1515,5
1516,0
1517,0
1518,8
1519,5
